text,community_id,community_name,perplexity,cleaned_text
all that keeping me going rn is that christmas is less than a month away,0,Eating Disorder,2.593966317645776,all that keeping me going rn is that christmas is less than a month away
hi new followers . some reminders ; no fucking proshippers ( includes giomis shippers ) no endogenic system or supporters no edtwt/shtwt/poppytwt etc . accounts thank you girls,2,Anti Eating Disorder,829.8749801895757,hi new followers . some reminders ; no fucking proshippers ( includes giomis shippers ) no endogenic system or supporters no edtwt/shtwt/poppytwt etc . accounts thank you girls
if youre on edtwt and have a marvel pfp youre automatically my friend i dont make the rules,0,Eating Disorder,4.186797115446376,if youre on edtwt and have a marvel pfp youre automatically my friend i dont make the rules
"did you know that keto works well , except in very specific situations . address those and keto will work for you too ! !",1,Keto and Diet,4.145668418808982,"did you know that keto works well , except in very specific situations . address those and keto will work for you too ! !"
learning and other things that are good for your brain can be fun ! 8 easy habits that will rapidly improve your brain,1,Keto and Diet,11.676865722595869,learning and other things that are good for your brain can be fun ! 8 easy habits that will rapidly improve your brain
sugar free peanut butter cups,1,Keto and Diet,6.559797574370593,sugar free peanut butter cups
elon needs to eradicate edtwt,3,Weight Loss Drugs,809.3028844005518,elon needs to eradicate edtwt
discover the power of holistic health . join me on a journey to find relief from health issues through the combination of traditional and functional medicine .,13,Healthy lifestyle and Weight Loss,5.591138048837015,discover the power of holistic health . join me on a journey to find relief from health issues through the combination of traditional and functional medicine .
this sort of thinspo is why i want to be skinny,0,Eating Disorder,2.7781263939174545,this sort of thinspo is why i want to be skinny
"i was in recovery for 6 months , now im back on my bullshit",0,Eating Disorder,2.3463569236034223,"i was in recovery for 6 months , now im back on my bullshit"
the finns of edtwt list is just full of my tweets sorry guys im mentally insane and will get worse if i ca n't tweet every half thought that i have,3,Weight Loss Drugs,106.25172062316749,the finns of edtwt list is just full of my tweets sorry guys im mentally insane and will get worse if i ca n't tweet every half thought that i have
bro i have thinspo as my wallpaper i get so self conscious when i open my phone in public but it motivates me sm,0,Eating Disorder,3.0706320642543163,bro i have thinspo as my wallpaper i get so self conscious when i open my phone in public but it motivates me sm
"my hoa fees are high , but they include ozempic in the water system .",3,Weight Loss Drugs,208.4440682627164,"my hoa fees are high , but they include ozempic in the water system ."
can i put my hand around that neck ! ! ! im baaaaack,10,Body Image,6.106871641258545,can i put my hand around that neck ! ! ! im baaaaack
keto white chocolate chips sugar free white chocolate chips for the win !,4,Healthy lifestyle and Weight Loss,6.522673064786068,keto white chocolate chips sugar free white chocolate chips for the win !
is there an app that lets you scan barcodes and itll tell you if that food is good for weightloss,0,Eating Disorder,3.6406955250663753,is there an app that lets you scan barcodes and itll tell you if that food is good for weightloss
sainsburys custard doughnuts & gt ; & gt ; & gt ; life,0,Eating Disorder,3.87874759984092,sainsburys custard doughnuts & gt ; & gt ; & gt ; life
if hate edtwt so much then dni and do n't put that shit on other people tls ? ? y'all r so fucking annoying,2,Anti Eating Disorder,18.117936822095505,if hate edtwt so much then dni and do n't put that shit on other people tls ? ? y'all r so fucking annoying
jennie kim is the only thinspo i need,7,Eating Disorder,2.455659886364004,jennie kim is the only thinspo i need
if any of yall on edtwt even remotely respond to me i will in fact lurk your page for a solid 15 minutes and probably end up following you,0,Eating Disorder,3.5988990755839083,if any of yall on edtwt even remotely respond to me i will in fact lurk your page for a solid 15 minutes and probably end up following you
see tummy now go and order yours now and thank me later phyna x spedy weightloss congratulations phyna,14,Spam,77.8650529121425,see tummy now go and order yours now and thank me later phyna x spedy weightloss congratulations phyna
so ozempic is basically ....... helping you starve yourself without getting cranky ? am i reading this right ?,3,Weight Loss Drugs,82.37870306471248,so ozempic is basically ....... helping you starve yourself without getting cranky ? am i reading this right ?
some people from my past are trying to shame me for sharing my body on the internet . but i am a very proud and open-minded person . no one will stop me from doing what brings me joy in life . especially when it allows me to make other people happy as well .,12,Spam,13.200574833065833,some people from my past are trying to shame me for sharing my body on the internet . but i am a very proud and open-minded person . no one will stop me from doing what brings me joy in life . especially when it allows me to make other people happy as well .
"parmesan and pork rind crumb air fried catfish , coleslaw , sauteed zucchini and brussel sprouts",1,Keto and Diet,17.58754859358031,"parmesan and pork rind crumb air fried catfish , coleslaw , sauteed zucchini and brussel sprouts"
my mom is so obsessed with keto i cant,0,Eating Disorder,4.384884880038948,my mom is so obsessed with keto i cant
cmo tiktok convirti ozempic en un medicamento para perder peso,3,Weight Loss Drugs,1062.3159243275757,cmo tiktok convirti ozempic en un medicamento para perder peso
fiz uma limpa de seguidor esses dias mt feira gente de edtwt me seguindo eu odeio vcs no me sigam,2,Anti Eating Disorder,433.0766763260456,fiz uma limpa de seguidor esses dias mt feira gente de edtwt me seguindo eu odeio vcs no me sigam
"roasted spaghetti squash with eggplant puttanesca roasted spaghetti squash with eggplant puttanesca is a rich , robust vegan keto meal that low in carbs & ; gluten-free ! prep time 15 mins cook time 45 mins serves 3",19,Weight Loss Drugs,42.85535338797754,"roasted spaghetti squash with eggplant puttanesca roasted spaghetti squash with eggplant puttanesca is a rich , robust vegan keto meal that low in carbs & ; gluten-free ! prep time 15 mins cook time 45 mins serves 3"
almonds in keto diet how to use almonds in ketogenic diet ?,4,Healthy lifestyle and Weight Loss,3.329969142083032,almonds in keto diet how to use almonds in ketogenic diet ?
that feeling when you realize youve put on more muscle and gotten even leaner than you were a month ago !,17,Healthy lifestyle and Weight Loss,4.252497759767849,that feeling when you realize youve put on more muscle and gotten even leaner than you were a month ago !
all of our financial earnings analyses so far ( ) novartis trims its pipeline kras flatlines novonordisk still can not meet demand $ nvs $ amgn $ mrtx $ nvo,6,Weight Loss Drugs,858.8654242733353,all of our financial earnings analyses so far ( ) novartis trims its pipeline kras flatlines novonordisk still can not meet demand $ nvs $ amgn $ mrtx $ nvo
motivatedfit | your clear step-by-step guide to your dream body without struggle !,6,Weight Loss Drugs,215.17735808653143,motivatedfit | your clear step-by-step guide to your dream body without struggle !
