text,community_id,community_name,perplexity
a of some of my fave thinspo rn . . . .,0,Eating Disorder,23.747007865062283
* free course * free course * free course * registration for my free course is open ! ! ! `` goodbye to overeating '' will run for 4 weeks ! follow link to register,4,Healthy lifestyle and Weight Loss,16.739596579514163
una siempre vuelve donde fue feliz ( edtwt ),0,Eating Disorder,95.5927884156532
edtwt food poll drawing edition !,0,Eating Disorder,11948.876265102796
mi thinspo ms personal,0,Eating Disorder,54766.60220418128
imagina vc ver uma magrinha no edtwt e seu comentrio ser `` vou te dar uma cesta bsica '',9,Eating Disorder,264.4525387037044
edtwt lied to me konjac noodles taste like expired semen,0,Eating Disorder,157.1696672816562
guys report the lady trying to take away edtwt ginny,0,Eating Disorder,238.6842312769793
"what happens when you stop taking ozempic ? weight regain will occur . this can be mitigated by lifestyle changes while you are on medicine . i recommend a ( guided by a continuous glucose monitor ) , intermittent fasting & ; strength training .",1,Keto and Diet,37.55468883332198
how to select the right workout plan for your body type yoga or exercise,4,Healthy lifestyle and Weight Loss,21.768255150371303
"exercise accounts for only 50 % of weight loss , follow for tips on healthy eating that will help you complete the rest of the weight and get a healthier physiquehope this is useful ! if so , feel free to share , like , save and tag friends .",1,Keto and Diet,17.339896146451448
tem uns corpo bonespo que eu chego a ter um surto interno do tanto que eu acho lindo . eu fico `` o que ? ! ? ! '' quando gente daqui zoa bonespo,9,Eating Disorder,154.41625926136106
edtwt at what bmi did develop a thigh gap ?,0,Eating Disorder,198.1631678203881
stay focused !,4,Healthy lifestyle and Weight Loss,1064.2388507043484
still struggling ? slim down swiftly and safely . call sws ( swift weightloss system ) clinic for confidential consultation with tests call on 0734-290686 / 0725-786247 mon-sat 8.00am to 5.00pm .,4,Healthy lifestyle and Weight Loss,175.76825979235505
morning coffee and edtwt scroll,0,Eating Disorder,1742.1916149499286
dont let your weight get you stressed . call us today and stop stressing . ( 316 ) 651-0156,4,Healthy lifestyle and Weight Loss,25.42544700020307
ngl i have mixed feelings about the accounts that are like everybody doesnt see you lookin cute today they just see the fat rolling off back and double chin like okk . i guess its funny but its relatable tho !,0,Eating Disorder,19.4357463828601
elena gilbert thinspo,0,Eating Disorder,75313.8068270994
bro edtwt do not fucking interact . thanks,2,Anti Eating Disorder,118.16495364701017
edtwt whats opinion on this,0,Eating Disorder,536.9564454667681
wher the metalheads of sh and edtwt,0,Eating Disorder,1773.3248968448186
"i understand the sentiment but as someone who avoided edtwt as i was literally in recovery , it was still getting recommend to me by twitter , almost daily . in my feed , and notification recommendations both . my account was a nsfw account , not related to ed/similar in any way .",0,Eating Disorder,16.27228978616319
happy thursday ! started with this protein packed breakfast today ! dont forget to get free ebook `` 365 days of keto low carb recipes '' are available . click the link in below ( ) credit sweatspac,1,Keto and Diet,27.621994878471646
see what they say about their lovely keto experience,4,Healthy lifestyle and Weight Loss,71.90156401098596
helix4 is a daily vitamin that may aid in weight loss by lowering your appetite,4,Healthy lifestyle and Weight Loss,15.66673862050298
check out this new mixed media that i uploaded to !,4,Healthy lifestyle and Weight Loss,25.718074852267403
"doing this because i ca n't weigh myself , edtwt what bmi do i look like ?",0,Eating Disorder,35.27940380378513
"you can also have much potential ; a more suitable body and as well , on top of that improve and even remove your excess body fat in case you implement the foregoing program",4,Healthy lifestyle and Weight Loss,26.71357660121545
fasting so i look good in my mall outfit tmr,0,Eating Disorder,17.269290097278333
edtwt if you 're vegan and post your meals be my moot i ca n't keep surviving on salads and soup,0,Eating Disorder,14.99692209678291
"it friday finally the diet begins , need a new image",10,Body Image,92.4982971840708
im free fatspo,0,Eating Disorder,84471.48147739956
