text,community_id,community_name,perplexity
"if you see anyone posting thinspo content , block immediately and keep scrolling , you dont need to see it babes youre doing great",2,Anti Eating Disorder,5.926565119739047e-13
non-edtwt get off edtwt like hello,2,Anti Eating Disorder,6.46849451506081e-30
me beating every misogynistic coquette edtwt fatphobic bitch with a bmi of 3 to a pulp with my gym gains,2,Anti Eating Disorder,1.3981484969349117e-13
tw / edtwt get this shit off my fucking timeline right now i am trying to recover in peace .,2,Anti Eating Disorder,8.059324204942391e-16
ai cara serio o edtwt virou piada por causa desse tipo de merda vcs sao mto imbecil vtnc que porra e essa,2,Anti Eating Disorder,5.832154204021831e-10
marysol is not fooling anybody . her diet consists of ozempic and tequila .,2,Anti Eating Disorder,1.7003531133988572e-19
people saying edtwt is the worst part of twitter .,2,Anti Eating Disorder,5.352374778864657e-29
i jerked off to posts,2,Anti Eating Disorder,0.0
"i knew them edtwt bitches was nazis , wdym on rightwing edtwt get help ?",2,Anti Eating Disorder,7.949493677836662e-16
why is it a thing lately to just openly fight with edtwt on the tl let stop,2,Anti Eating Disorder,2.0897804141575373e-18
my tl is filled with people arguing with edtwt and that kep1er dick and balls video what happened to the for you this is not for me,2,Anti Eating Disorder,2.366080595339604e-11
losing weight ages you regardless tho . major reason i wont get weightloss surgery . i do have a friend who went from 190 to 120 and she doesnt look any older but thats rare .,2,Anti Eating Disorder,3.4374074697751662e-09
can edtwt stop fucking interacting with me on here,2,Anti Eating Disorder,1.6735153371385556e-31
just frowed up,2,Anti Eating Disorder,0.0
nie wiem jak edtwt ludzie funkcjonuj na tumblerze jak mnie tam co chwil banowali xdd si wkurwiam i usunam t aplikacj,2,Anti Eating Disorder,4.443572620971281e-08
holy fuck i hate twt cuz why is my for you tl edtwt all of a sudden ? idgi ?,2,Anti Eating Disorder,2.7366939958769686e-14
esse tweet apareceu pra mim pq alguem quotou e ai viralizou mas essa conta de edtwt pq diabos alguem quotaria meu deus ? ? ? ? edtwt s interage com edtwt,2,Anti Eating Disorder,9.714844964037184e-07
im so glad i never fell down the edtwt rabbit hole cuz them bitches are vileeeee,2,Anti Eating Disorder,3.0438171972975135e-17
stop interacting w edtwt just report their accs,2,Anti Eating Disorder,9.573130072757682e-31
auuughhh i hate edtwt soxmuch inhope they all,2,Anti Eating Disorder,6.729995787848809e-22
know the keto buffoons would love this,2,Anti Eating Disorder,3.452482722643412e-38
shtwt is fucking weird along with edtwt like wtf do you mean you wan na kill aomebody for being bigger then you,2,Anti Eating Disorder,9.01907563390092e-13
me when this customer at my pizza shop tells me shes on the keto diet and asks if i can just put all the pizza toppings in a bowl for her instead of on a pizza,2,Anti Eating Disorder,6.326699164560521e-10
im begging yall to stop putting those edtwt bitches on my tl,2,Anti Eating Disorder,8.015031168817917e-21
"if are talking about livs weight stfu , also if going to quote tweet something from edtwt please tw",2,Anti Eating Disorder,2.5190600609148808e-14
as garotas do edtwt costumam ser umas arrombada racistas ? sim ! ! ! mas nao deixam de ser gostosas,2,Anti Eating Disorder,7.035547838762922e-11
still learning 2 like my body type but avi midriff reveal ? ? real ? ? ?,2,Anti Eating Disorder,2.5769341670550764e-18
doom guy should show more midriff,2,Anti Eating Disorder,1.5722568769724448e-42
"mfs on edtwt will say the most vile and repulsive shit about someone who isnt violently anorexic , and then turn around and say twice is doing harm to young girls for going barefaced in their teaser theyre naturally pretty ?",2,Anti Eating Disorder,1.819511794565188e-07
"no matter what word i twitter search im always like 2 clicks away from those proana accounts . and lem me tell you , nothing has changed in that community . if anything it went from worse to worser",2,Anti Eating Disorder,3.15611203838273e-09
hiii if youre edtwt / shtwt maybe keep to your side of twitter and stop interacting with those who arent in those communities ! if you wan na spread your shit do it in a place where you dont harm those recovering you fuckers,2,Anti Eating Disorder,2.0173087023067645e-07
i need more black edtwt muts right meow !,2,Anti Eating Disorder,1.352922645101279e-26
i havent eaten since november,2,Anti Eating Disorder,0.0
running another edtwt blockchain and ive been on this app for less than 5 mins this morning . yall are a fucking disease,2,Anti Eating Disorder,3.548864977928612e-12
edtwt and radfems are so genuinely hateful of the human body it rly hurts to see,2,Anti Eating Disorder,4.6695952294240255e-16
tw ed i am going to go insane why do fucking edtwt accounts keep following me like stop its so triggering,2,Anti Eating Disorder,1.7347069588343356e-15
edtwt bitches,2,Anti Eating Disorder,0.0
"//tw eating disorders , fatphobia , gore spooky month fandom please for the love of god stay away from this person account . they 're an edtwt acc and constantly post fatphobic shit but more importantly they are posting real life gore . report them please .",2,Anti Eating Disorder,8.909760254027788e-07
if you follow people who are on / participate in edtwt or shtwt block me rn ai n't doing none of that stuff in 2023,2,Anti Eating Disorder,7.510970144453122e-12
"it always the edtwt mfs who have a lot to say , as if you do n't look like a combination of these two",2,Anti Eating Disorder,3.750027361120596e-13
why did some 14 yearold from edtwt follow me ? ? cant yall read the mdni in my bio ? ?,2,Anti Eating Disorder,8.506312787395084e-14
i got lost ! ! !,2,Anti Eating Disorder,0.0
fucking on a bitch who is on,2,Anti Eating Disorder,0.0
when i look up new moots on twt and all i see r edtwt tweets,2,Anti Eating Disorder,2.7549730065833867e-17
i can not believe edtwt is an actual thing like im flabbergasted,2,Anti Eating Disorder,1.5351268556569444e-20
john cena follows the most random ppllike y is he following random stan accs and edtwt accs,2,Anti Eating Disorder,3.156752457496954e-15
"//eds , edtwt very peculiar how every single time that yall argue with or find an edtwt acc you guys make fun of them for having an ed and not something like the fact theyre anti-recovery or fatphobic despite the fact+",2,Anti Eating Disorder,1.6373161315641482e-07
just got thinspo on my tl because a mutual follows the acc but i lost their so i ca n't remember who they were so i can sb that was incredibly triggering ! why do n't you people make separate accs to interact with that shit instead of subjecting random people to it,2,Anti Eating Disorder,1.436222646589158e-06
mds eu odeio o edtwt,2,Anti Eating Disorder,1.843580993997856e-37
for a bunch of who are scared to even drive by a popeyes edtwt is very bold,2,Anti Eating Disorder,9.685558708418133e-18
edtwt,2,Anti Eating Disorder,0.0
"tik tok showing thinspo to my mom i hate you edtwt , i hate you all i hope you know that .",2,Anti Eating Disorder,2.273639176236797e-13
conoc shtwt y edtwt me aparecen los dos despus body positive twt bardeando a estos transtornados la verdad estoy entre la mitad y mitad,2,Anti Eating Disorder,9.116726928937169e-09
