text,community_id,community_name,perplexity
is it a gift ?,10,Body Image,0.0
march starts with ! it sucks having to bring clothes . wouldnt it just be easier to travel naked ?,5,Body Image,7.34573971034123e-17
soz been well quiet whats everyone up too,5,Body Image,8.771118124469136e-35
this is 58 people ! i am over the hill and picking up speed yeeeee hawww !,10,Body Image,9.710498865631095e-17
happy,5,Body Image,0.0
i solemnly swear that i am up to no good,5,Body Image,2.5396149077445022e-34
believe .,5,Body Image,0.0
me & ; jojo dynamo !,10,Body Image,2.802596928649634e-45
cold boob,10,Body Image,0.0
"last year on a good day , no tummy bloat and vibes up !",10,Body Image,1.9364559864982068e-20
bodypositivity nudism,5,Body Image,0.0
2nd workout in the shower !,5,Body Image,0.0
"throwback thursday . from a lovely summer day at the swedish west coast 2006 . as usual , a natural naturist day .",5,Body Image,6.873935285995475e-14
my videos really are all done unscripted . we let old things go for new ones to come .,5,Body Image,1.3540595075732728e-17
sundays thought .,5,Body Image,0.0
yes please . make this real . * smashes button repeatedly *,5,Body Image,2.3593556635467223e-27
normalisingnaturism nudism naturism nudebeach clothesfree bodypositivity bodyfreedom,5,Body Image,8.059324204942391e-16
friday,10,Body Image,0.0
bodypositivity nudism,5,Body Image,0.0
"some nights i stay up jigglin ' my fat bod some nights the sink and i call it a draw ( like what you see ? consider getting my $ 20 video bundle , check pin or for info )",5,Body Image,1.119706882768412e-09
singlet saturday proud owmer of 20,5,Body Image,1.179893306961496e-42
"how to lose belly fat , fast",10,Body Image,0.0
5 `` having the flexibility to take care of yourself rather than being ashamed when you are emotionally affected by negative messages about your body . '' ( tylka and wook-barcalow ) voir ci-dessous,5,Body Image,3.2508385316987194e-08
friyay edition,10,Body Image,0.0
these clients surprised me with this big bag of gifts at the closing i have been obsessed with this cool diffuser they had and they got me one with all the oils and she wrote out what to do ! plus a big box of keto foods i really needed that today check this out,10,Body Image,8.864679443831847e-07
evil plane mirror made me do it again !,5,Body Image,2.041507743113434e-36
would you worship every inch ps i have 45 % off,10,Body Image,2.180511693021092e-31
the last of february is here and soon i will be running my fan more then the heater . stay nude .,5,Body Image,1.4648152626639218e-15
good night . .,10,Body Image,0.0
"he told me , pull ova that ass too fat !",5,Body Image,6.730206487049917e-28
just a thoughtwithout clothes i can concentrate more easily .,5,Body Image,2.973336111286297e-28
a beautiful back and bottom .,5,Body Image,0.0
"coffe break needed also when working at home . the dresscode at home is , well , relaxed ( as usual ) .",5,Body Image,9.01971927729688e-15
bleh .,5,Body Image,0.0
happy halloween 2022 ! joyeux halloween 2022 !,5,Body Image,3.4802085418523924e-32
check out my recipe aloo matar poha on cookpad,5,Body Image,2.6200603260266668e-27
"do yall check your bp regularly ? ? i do , i went from 25mg of hctz and 50mg losartan daily to only 25mg of losartan daily after dropping over 90 lbs . hypertension is the silent killer and imma take care of my kidneys because dialysis sucks . 124/74 today",10,Body Image,1.6978658550215189e-06
"had a rough day , so i think it will be an early night for me . anyone want to join me ?",10,Body Image,8.116927739311604e-16
sexy,5,Body Image,0.0
look into my eyes baby,10,Body Image,0.0
do n't judge me to harshly,10,Body Image,9.355068547832479e-42
its & ; theres no better feeling than getting out of bed without having any clothes on .,5,Body Image,1.3768311694513982e-18
"thomas delauer breaks down some of the pitfalls to avoid when starting on the low-carb , high-fat diet",10,Body Image,1.106034446700984e-14
bodypositivity nudism,5,Body Image,0.0
i spend a lot of time in the kitchen keeping up a 4500 cal/day keto gluten-free diet . sometimes my dick slips out uncensored and uncut everything,5,Body Image,3.9439604360147484e-10
"its saturday morning , im feeling frisky , and theres no telling what i may post today .",10,Body Image,2.995998547830313e-17
"feeling sexy today how about you , twitter people ?",10,Body Image,3.333730218347076e-34
for full vids see my patreon account links in bio,5,Body Image,5.405338478262538e-27
there just something about a black & ; white photo,10,Body Image,1.5726175537089571e-34
line 'em up,5,Body Image,0.0
"if youre gon na retweet something today , let it be this .. ! !",5,Body Image,2.0287645116073602e-17
check out 6 steps to become comfortable naked by,5,Body Image,1.027693236076706e-38
some booty for your hump day evening,10,Body Image,1.4813476951513108e-37
the bear is wet again,5,Body Image,0.0
we shout this from the rooftops ! body image issues are perfect for a place like cypress cove . .,5,Body Image,5.0051954403032407e-17
"give me unashamed , unburdened , uncomplicated naked hiking over fussy hypocrisies any day of the week . with",5,Body Image,7.769151641467964e-12
keto chicken n veggie 75g protein 7g fat 8g carbohydrates 404g kcal high protein kefir 18g protein 1g fat 20g carbohydrates 200 kcal 3eggs in a glass 20g protein 210 kcal celery salad 2g protein 15g carbohydrates 88 kcal,5,Body Image,1.8909638583863853e-06
thick enough for ? !,5,Body Image,0.0
uncrowned queen,10,Body Image,0.0
a few of the folks from my bear hug cuddle pile in nyc today join us next time !,5,Body Image,5.0394866261869335e-18
"week 13 of lifting . not much difference from the previous week , but have been feeling more energized .",5,Body Image,7.669109361032136e-16
normalisingnaturism nudism naturism nudebeach clothesfree bodypositivity bodyfreedom,5,Body Image,9.840008218032809e-16
monday .,10,Body Image,0.0
follow,10,Body Image,0.0
can i put my hand around that neck ! ! ! im baaaaack,10,Body Image,2.1159671596550932e-22
sunspot .,5,Body Image,0.0
normalisingnaturism nudism naturism nudebeach clothesfree bodypositivity bodyfreedom,5,Body Image,5.200017848906507e-16
body positivity i wish i had some i feel so gross,10,Body Image,3.907601356931142e-28
"easy to make , those crispy garlic keto croutons recipe made in an air fryer are not only delicious to make but also done in just a few minutes . full recipe",5,Body Image,5.78393166694724e-10
"keeping my hair short and body shaved is a great way to cool off . oh , and staying naked too . happy monday",5,Body Image,6.383435108086276e-15
slip it off,10,Body Image,0.0
"dlouho nebylo keto oknko kluka . tady konkrtn citronov bboviky k sndani . v podstat vechno peen m stejn zklad . tsto se skld z vajec , mletch oech , tuku a creme fraiche . samozejm odven v pesnch pomrech . 1/x",10,Body Image,1.4282268239185214e-06
nudewomen bodyfreedom bodypositivity nudism,5,Body Image,2.1483405714109515e-27
bedroom heels,5,Body Image,0.0
bodypositivity nudism,5,Body Image,0.0
`` gigi satin '',10,Body Image,0.0
no filter . do n't care . that low carb pizza slaps,10,Body Image,1.2632558527654922e-22
bodypositivity nudism,5,Body Image,1.401298464324817e-45
would you join me in the shower ?,5,Body Image,5.124548484035856e-41
"throwback to the oktoberfest . next year i 'll probably need a new dirndl , it definitely too long for my taste .",10,Body Image,8.309301055380025e-13
normalisingnaturism nudism naturism nudebeach clothesfree bodypositivity bodyfreedom,5,Body Image,1.8076051553738825e-15
popo-montag im gestrpp mit der lieben editha euch allen einen rundum schnen abend !,5,Body Image,1.050598410351489e-12
vote for me by going to the link below and clicking like on any of my pictures ! you can help me win $ 500 !,10,Body Image,3.0239506509715734e-14
