text,community_id,community_name,perplexity
"hi i 'm mia ! ! kinda new to and looking for moots ! ! * twenty , she/her , infp * 168 cm , cw 58 kg , gw ( for now ) 50 kg * loves coffee , art , kp0p , music in general really , gh1bli movies , fashion or like to be moots",7,Eating Disorder,1.4857967016723703e-06
"egirl thinspo // a for edtwt & lt ; ( ^~^ ) & gt ; ~dni if sensetive or not part of edtwt & gt ; & lt ; ~ [ & ; appriciated ! ] tags ; thinspo , edtwt , thin , skinny , egirl , ricecaketwt , ve , ed , ana , mia , ana motivation",0,Eating Disorder,1.6478297766298056e-06
ving until finals ! [ jan 24th ] i 'll be documenting my progress and how much i lost when my scale comes ! cw ; 82.3kg . started jan 12 leave tips if you can ! ^_^ edtwt thinspo meanspo sweetspo bonespo anatwt miatwt thintwt proana ricecaketwt mealspo,7,Eating Disorder,2.0319630493759178e-06
"algunas veces siento que no merezco estar en edtwt por los atracones que tengo y pq mi ugw es medio alto , pero se que si bajo de eso tendr dolores horribles y no quiero volver a pasar por eso [ [ [",8,Eating Disorder,1.625705181140802e-06
literally my cw is such a lie im 149 this is horrible i 'm okay if im 145 atp but not 149. thats too close to 150. i have to get my shit together i am gon na do it becuase my subconscious is holding me back i always felt like i could never achieve this weightloss much less+,0,Eating Disorder,1.661984924794524e-06
im so high stay with me genuinely i am only on edtwt of the support and by that i mean that i can tweet literally whatever i want ! vent about anything ! and nobody is judging me or like why tf would they post that on twt its just likes and people being nice,0,Eating Disorder,1.4819277112110283e-06
"una entra a edtw para desahogarse , ver thinspo , ver recetas lowcal y contar lo ms transtornado que ha hecho y se termina topando con 10 hilos sobre feminismo , 20 sobre transfobia y 3 funas sobre cleptotw",8,Eating Disorder,2.351518560317345e-06
hoping to find more edtwt moots my tl is quiet and i wan na follow more people ! ! dni if you 're a minor ! ! if 18+ alt/emo high sw/cw neurodiverse ( i 'm v much nd and would love more nd to follow ! ! ),0,Eating Disorder,1.5985667687345997e-06
"hii im ee , im not new to edtwt , just moved acc and looking for new moots ! ! ee ! isa she ! her 20 y/o 157cm ; 51.7 kg fatphobes , non-edtwt dni ! ! / to be moots ! ! & lt ; 33",7,Eating Disorder,1.4817059081906336e-06
"mama mnie zmusila do zjedzenia nalesnika i wypicia kakao japierdziele . co prawda kawalek nalesnika wywalilam , ale i tak musialam zjesc reszte , czuje sie z tym okropnie",0,Eating Disorder,2.3873153622844256e-06
