text,community_id,community_name,perplexity
"is a significant breakthrough for those suffering from , but the dream of having access to this medication is n't quite here yet .",6,Weight Loss Drugs,1.2835804298518948e-14
"take the time to connect with yourself , your thoughts , and your emotions . by doing so , you can foster a deeper connection with yourself and live a more fulfilling life .",6,Weight Loss Drugs,1.2189695433595382e-11
you dont look to make it easier for people with atypical anorexia to be screenedtheres a growing movement in the field to collapse the categories of anorexia and atypical anorexia into one & lt ; yes !,3,Weight Loss Drugs,4.010537679732806e-08
"chicago it happening , we are not immune . my already slim supervisor just told me she going on the ozempic diet to get back to a size 2 .",3,Weight Loss Drugs,1.0307875213111384e-11
online bronze age based trad reactionary alpha crypto keto crusader chad for christ offline married the first woman you found on a dating app willing to go on a date,3,Weight Loss Drugs,1.9703728232345335e-11
be intentional on what you eat and how much . we exercise our pets and control their food portions .. what about us ? ?,19,Weight Loss Drugs,8.064617631467139e-15
all the fear mongering around semaglutide is the last breath of a dying industry . people arent buying it anymore as they get better & ; healthier on effective disease treatment . im just going to sit back and enjoy the show while i build the future of obesity treatment services .,6,Weight Loss Drugs,1.0854946594918149e-06
"weight loss jabs could be offered to millions of people on the nhs , as health officials search for cost-effective ways to tackle britains obesity crisis",3,Weight Loss Drugs,1.874066223386817e-12
"being outdoors can do a world of good for your health , so today challenge is to get outside and go for a walk !",6,Weight Loss Drugs,7.222405995748611e-15
wow all the fatties have been using so much of the type 2 diabetic medication as weight loss pills that the diabetics cant access their medication . means ignoring all the risks .. to you & ; everyone else . that the most selfish thing i 've heard of in a long time,19,Weight Loss Drugs,1.3635815321322298e-06
"theres perhaps no greater metaphor for americas health-care crisis than the unhealthy discourse around ozempic , writes . a culture built on dieting is not a proper remedy for what ails us",3,Weight Loss Drugs,3.378659130248706e-09
finally got my ozempic ! ! now i have ozempic nausea from being off of it,3,Weight Loss Drugs,5.447757747534424e-18
"star kyle richards says it `` bothers '' her that people think she took the easy way out , because she worked hard on her fitness !",3,Weight Loss Drugs,1.402505390470099e-12
get ready to feel slimmer with slimmy ! lose up to 19lbs and 5 inches off your waist in your first 4 weeks !,3,Weight Loss Drugs,1.887146851547311e-13
cardiologist dr steven lome has begun doing facebook lives and we 're adding those events and other content to our youtube channel . check them out ! ! ! wfpb,6,Weight Loss Drugs,1.0836224972887719e-10
new year ! new beginning ! please listen to & ; share ft & ; sharing tips & ; advice for healthy for people living with,6,Weight Loss Drugs,2.906602028832604e-14
"is low-carb ( or keto ) a fad diet ? i 'm gon na say yes , and here why . but first , i want to be clear that i think those diets are totally fine . they help a lot of people be the weight they want to be . but they 're still fad diets . a short",6,Weight Loss Drugs,1.062496153281245e-06
guaranteed weight loss 5 kg per month ! have this for breakfast everyday,6,Weight Loss Drugs,2.755515986433277e-27
"tiktok is fueling demand for ozempic , creating shortages of the diabetes drug now used for .",6,Weight Loss Drugs,1.0896669246587238e-16
"despite social media buzz , ozempic is not a quick-fix weight loss solution doctors",3,Weight Loss Drugs,4.941707518832206e-20
hollywood skinny jab ozempic set to be sold in uk,3,Weight Loss Drugs,3.8223292197511926e-27
"in january 2023 , i might get not the tummy tuck surgery but i have get tested for health problems including headaches . if i did not get the tummy tuck surgery , i will be okay but it is going be hard .",3,Weight Loss Drugs,1.1509926345354415e-08
amla powder helps improve digestion and relieve acidity . it is also effective for diabetics as it helps control blood glucose levels . try our amla powder !,6,Weight Loss Drugs,1.3912732944876272e-11
wegovy weight loss jab to be sold by uk chemist shops,6,Weight Loss Drugs,2.2054978118549706e-25
ways to lose belly fat and live a healthier life . maintaining a trim midsection does more than make you look greatit can help you live longer .,3,Weight Loss Drugs,4.691181037380643e-12
procrastination solutions for college students the underground playbook for,6,Weight Loss Drugs,2.981958932981556e-27
"`` ear can happen during or due to bacteria , viruses or fungi getting trapped in the inner , middle or outer ear , '' dr dimple jangda , an ayurveda expert , wrote in an instagram post |",3,Weight Loss Drugs,2.4085712979626805e-08
try to incorporate these diet hacks into your daily lifestyle to effectively deal with stubborn belly fat,3,Weight Loss Drugs,2.625632661397985e-20
"should glp-1r agonists be considered , for some , as first line therapy for with the debate continues",6,Weight Loss Drugs,2.047160260659265e-15
intermittent fasting for weight loss ? is intermittent fasting better for weight loss ?,6,Weight Loss Drugs,2.274218589476435e-22
"rapaz se eu contar pra vcs a quantidade de absurdo que eu li sobre mim e minha profisso depois daquele tweet do ozempic , e tudo vindo de quem ? dos intocveis mdicos ! tive que ler inclusive que s pq minha profisso no receita remdios eu n deveria falar sobre eles",3,Weight Loss Drugs,1.532794271952298e-06
"struggling to find really good beginner keto recipes ? as you know i 've recently lost 50 lbs and i want to share the recipes i 've found , you can have them for free . clk below",3,Weight Loss Drugs,4.1077026224911606e-09
eating disorders develop gradually and it often takes a long time for people with an eating disorder to seek help and receive treatment . this treatment gap can be reduced with ehealth .,6,Weight Loss Drugs,1.472909294530922e-11
"first week done , and he already down 6 pounds . i 'm happy to help people achieve their fitness goals . who next ? book a free call with me",3,Weight Loss Drugs,4.685547522892408e-12
the new wegovy commercial makes me want to throw a shoe through the television .,3,Weight Loss Drugs,1.4255617752041808e-20
"amazon deal found quest nutrition ready to drink chocolate protein shake , high protein , low carb , gluten free , keto friendly , 11 fl oz pack of 12 price $ 12.55 clip coupon",3,Weight Loss Drugs,6.897076798573211e-10
florence pugh flashes a hint of her midriff as she dons quirky black and white look with mismatched boots in ny,3,Weight Loss Drugs,2.519839805564805e-13
