text,community
happy sunday ya 'll,Body Image
i get cravings for brussels sprouts every once in a while,Keto and Diet
if you want to lose weight click link in my bio,Healthy lifestyle and Weight Loss
calling out & ; those who just wan na lose a few pounds . are literally suffering & ; getting much worse because they cant get their medicine,Anti Eating Disorder
does a 3 to 5 day fast help you lose weight ?,Weight Loss Drugs
sustainable fashion has been all the rage lately . check out our list of the top five affordable and sustainable clothing brands .,Weight Loss Drugs
why has so much edtwt been coming up on my dash . it does n't even trigger me anymore i just think they are annoying and embarrassing .,Anti Eating Disorder
be honest with yourself . you dont need anyone to tell you what is holding you back from reaching your goals .,Healthy lifestyle and Weight Loss
a healthy mind is essential for living a long and fulfilling life . . . . . .,Keto and Diet
throwback to one of the few times i felt 100 % comfortable in my body and confidently sexy . wish i could feel like that all the time .,Body Image
not an edtwt account but not not an edtwt account,Anti Eating Disorder
"this new year , i have made a resolution to get more fit and toned for the summer . although its still a few months away",Keto and Diet
"please stop putting thinspo on my tl . idc if youre dunking on them , youre still giving them traction . just block report and move on",Anti Eating Disorder
"when i eat my stomach hurts , when i do n't eat my stomach hurts what do i do",Eating Disorder
edtwt saying shtwt dni and shtwt saying edtwt dni is so funny cuz like .. yall two sides of the same coin ! ! ! yall cousins ! ! !,Anti Eating Disorder
physical activity is really important and this is one of the best ways of being able to lose weight and keep in shape . read more,Keto and Diet
im going bald so fast can someone give me tips on how to keep my hair from falling out ?,Eating Disorder
edtwt just showed me the most triggering thing and im suprised rhat i can still get triggered like this as though i dont have a mental disorder,Anti Eating Disorder
last week was eating disorder awareness week so this is a reminder to not wait to seek help !,Keto and Diet
hi respectfully if youre following me because of the alex situation and youre a part of edtwt i do not wish to interact . please do not follow me . i am in recovery and do not want to be involved with those things,Anti Eating Disorder
if you want to lose weight click link in my bio,Healthy lifestyle and Weight Loss
if you want to lose weight click the link in my bio,Healthy lifestyle and Weight Loss
"idgaf ill always be pro fat , all you keto diet bitches can keep that to yourself .",Anti Eating Disorder
yours truly,Body Image
thank you to everyone for your support ! it means the world,Keto and Diet
good morning ! hope youre enjoying your saturday and the weekend ahead !,Body Image
edtwt is pissing me off like some of yall need to mind fucking business ? ? ?,Anti Eating Disorder
these herbal remedies are so good that youll see and feel the difference once you make them a part of your life .,Weight Loss Drugs
how do take apple cider vinegar and what are the benefits of it ? do i drink it straight or mix it with water,Anti Eating Disorder
who am i ? where do i come from ? what is my purpose ? where am i going ?,Healthy lifestyle and Weight Loss
come and shower with me but be careful not to drop the soap,Body Image
im going on a new diet wish me luck,Eating Disorder
"healthy habits start with how you identify yourself . do you identify with a healthy , active lifestyle ?",Keto and Diet
if you want to lose weight click link in my bio,Healthy lifestyle and Weight Loss
how to lose weight in a week at home without exercise ! check it out how to lose weight without exercise tips and tricks,Keto and Diet
if you want to lose weight click link in my bio,Healthy lifestyle and Weight Loss
"me eating keto chips , popcorn and keto bread for dinner",Anti Eating Disorder
is it possible to lose belly fat ? tips for losing belly fat,Healthy lifestyle and Weight Loss
merry christmas yall,Body Image
"only 14 days until christmas ! sticking to your health goals can be difficult during the christmas period . visit our website for tips , resources and more",Weight Loss Drugs
